iter	Passed	Remaining
0	40	4025
1	80	3922
2	119	3852
3	158	3793
4	196	3737
5	236	3697
6	274	3644
7	313	3609
8	359	3637
9	403	3627
10	442	3579
11	481	3529
12	521	3490
13	564	3466
14	603	3421
15	643	3379
16	683	3335
17	722	3293
18	762	3250
19	801	3207
20	840	3162
21	880	3121
22	919	3077
23	958	3034
24	997	2993
25	1037	2953
26	1076	2910
27	1115	2867
28	1155	2830
29	1198	2796
30	1241	2763
31	1284	2729
32	1326	2693
33	1379	2677
34	1422	2641
35	1466	2606
36	1507	2567
37	1551	2530
38	1595	2495
39	1638	2457
40	1684	2424
41	1727	2385
42	1769	2345
43	1811	2305
44	1854	2266
45	1897	2227
46	1936	2184
47	1976	2141
48	2017	2099
49	2056	2056
50	2072	1991
51	2097	1935
52	2135	1893
53	2175	1853
54	2215	1812
55	2254	1771
56	2294	1731
57	2335	1691
58	2379	1653
59	2418	1612
60	2457	1571
61	2497	1530
62	2538	1490
63	2577	1449
64	2618	1409
65	2656	1368
66	2696	1328
67	2735	1287
68	2774	1246
69	2814	1206
70	2852	1165
71	2891	1124
72	2931	1084
73	2970	1043
74	3010	1003
75	3048	962
76	3091	923
77	3130	882
78	3169	842
79	3193	798
80	3196	749
81	3221	707
82	3266	668
83	3307	630
84	3361	593
85	3403	554
86	3445	514
87	3456	471
88	3500	432
89	3542	393
90	3585	354
91	3628	315
92	3670	276
93	3712	236
94	3755	197
95	3796	158
96	3838	118
97	3880	79
98	3922	39
99	3964	0
